age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre,Cost_Per_Profile,Login_Frequency,Loyalty_Score,Estimated_Tenure_Days,Watch_Intensity
51,Male,Basic,26.04,8,South America,Laptop,8.99,0,Credit Card,1,2.89,Romance,8.99,0.1111111111111111,3.214444444444444,1020,75.2556
39,Female,Premium,12.07,15,South America,Desktop,17.99,0,Debit Card,1,0.75,Documentary,17.99,0.0625,0.80125,660,9.0525
69,Male,Basic,6.06,30,Europe,TV,8.99,0,Credit Card,4,0.2,Romance,2.2475,0.032258064516129,0.20193548387096752,1560,1.212
55,Female,Basic,24.21,35,Oceania,Laptop,8.99,0,PayPal,1,0.67,Drama,8.99,0.0277777777777777,0.6911111111111092,1140,16.2207
20,Other,Standard,3.19,53,South America,Tablet,13.99,1,Gift Card,4,0.06,Sci-Fi,3.4975,0.0185185185185185,0.060185185185185126,90,0.1914
20,Male,Premium,39.85,26,Europe,Desktop,17.99,0,Debit Card,1,1.48,Horror,17.99,0.037037037037037,1.5307407407407392,90,58.978
31,Other,Standard,31.29,9,South America,TV,13.99,0,Crypto,4,3.13,Documentary,3.4975,0.1,3.442,420,97.93769999999999
18,Female,Standard,11.81,9,South America,Mobile,13.99,0,Credit Card,4,1.18,Horror,3.4975,0.1,1.2990000000000002,30,13.9358
58,Other,Basic,6.1,26,Oceania,Tablet,8.99,0,Credit Card,2,0.23,Comedy,4.495,0.037037037037037,0.2344444444444442,1230,1.403
37,Other,Premium,26.5,12,South America,Tablet,17.99,0,Debit Card,5,2.04,Drama,3.598,0.0769230769230769,2.1953846153846146,600,54.06
23,Male,Standard,10.77,23,North America,Laptop,13.99,0,PayPal,3,0.45,Sci-Fi,4.663333333333333,0.0416666666666666,0.46749999999999925,180,4.8465
46,Female,Standard,4.68,11,Africa,Tablet,13.99,1,Gift Card,5,0.39,Comedy,2.798,0.0833333333333333,0.42249999999999976,870,1.8252
22,Male,Standard,17.8,54,North America,Desktop,13.99,1,Debit Card,1,0.32,Action,13.99,0.0181818181818181,0.329454545454544,150,5.696000000000001
36,Other,Standard,2.79,10,Europe,Desktop,13.99,1,Gift Card,1,0.25,Sci-Fi,13.99,0.0909090909090909,0.2763636363636363,570,0.6975
51,Female,Premium,8.6,9,Europe,TV,17.99,0,Gift Card,1,0.86,Sci-Fi,17.99,0.1,0.946,1020,7.396
60,Other,Standard,4.57,60,Oceania,TV,13.99,1,Gift Card,3,0.07,Romance,4.663333333333333,0.0163934426229508,0.07606557377049172,1290,0.3199000000000001
37,Male,Standard,2.43,6,North America,Tablet,13.99,0,Crypto,5,0.35,Romance,2.798,0.1428571428571428,0.397142857142857,600,0.8505
55,Male,Standard,43.73,28,North America,Laptop,13.99,0,PayPal,4,1.51,Horror,3.4975,0.0344827586206896,1.5599999999999974,1140,66.03229999999999
22,Male,Premium,21.47,51,South America,TV,17.99,0,PayPal,3,0.41,Sci-Fi,5.996666666666666,0.0192307692307692,0.42076923076923006,150,8.8027
18,Other,Premium,16.89,33,South America,Laptop,17.99,0,Debit Card,4,0.5,Romance,4.4975,0.0294117647058823,0.5114705882352932,30,8.445
46,Male,Premium,2.96,33,South America,TV,17.99,1,PayPal,5,0.09,Action,3.598,0.0294117647058823,0.08970588235294101,870,0.26639999999999997
49,Other,Premium,22.29,19,Africa,Tablet,17.99,0,Gift Card,1,1.11,Comedy,17.99,0.05,1.17,960,24.7419
23,Male,Basic,10.37,30,Oceania,Tablet,8.99,0,PayPal,2,0.33,Drama,4.495,0.032258064516129,0.34516129032258025,180,3.4221
24,Female,Basic,21.04,10,Oceania,Tablet,8.99,0,Gift Card,2,1.91,Action,4.495,0.0909090909090909,2.086363636363636,210,40.1864
31,Other,Standard,8.02,28,Oceania,TV,13.99,0,Gift Card,5,0.28,Drama,2.798,0.0344827586206896,0.28620689655172366,420,2.2456
66,Female,Standard,18.96,6,South America,Laptop,13.99,0,Gift Card,3,2.71,Action,4.663333333333333,0.1428571428571428,3.0957142857142848,1470,51.3816
65,Other,Basic,15.79,22,South America,Mobile,8.99,0,Debit Card,5,0.69,Sci-Fi,1.798,0.0434782608695652,0.7165217391304346,1440,10.8951
64,Other,Basic,15.26,48,Asia,Mobile,8.99,1,Credit Card,1,0.31,Comedy,8.99,0.0204081632653061,0.317755102040816,1410,4.7306
29,Female,Basic,0.36,3,Asia,Mobile,8.99,1,Debit Card,4,0.09,Horror,2.2475,0.25,0.11249999999999999,360,0.0324
55,Female,Premium,20.71,7,North America,Mobile,17.99,0,Debit Card,5,2.59,Sci-Fi,3.598,0.125,2.9125,1140,53.6389
62,Male,Basic,11.99,7,Europe,TV,8.99,0,PayPal,2,1.5,Romance,4.495,0.125,1.68625,1350,17.985
59,Female,Basic,0.75,6,Oceania,TV,8.99,1,Debit Card,3,0.11,Romance,2.9966666666666666,0.1428571428571428,0.1228571428571428,1260,0.0825
55,Other,Standard,3.19,45,South America,Mobile,13.99,1,Gift Card,2,0.07,Comedy,6.995,0.0217391304347826,0.07086956521739128,1140,0.22330000000000003
52,Male,Premium,1.92,0,North America,TV,17.99,0,Debit Card,4,1.92,Action,4.4975,1.0,3.84,1050,3.6864
26,Male,Basic,2.04,59,South America,Laptop,8.99,1,Credit Card,5,0.03,Drama,1.798,0.0166666666666666,0.03449999999999986,270,0.0612
25,Male,Standard,30.99,52,Europe,TV,13.99,0,Gift Card,4,0.58,Horror,3.4975,0.0188679245283018,0.5956603773584878,240,17.974199999999996
33,Other,Basic,20.06,32,South America,Tablet,8.99,0,Debit Card,3,0.61,Drama,2.9966666666666666,0.0303030303030303,0.6263636363636362,480,12.2366
40,Female,Premium,3.91,53,Europe,Mobile,17.99,1,PayPal,4,0.07,Action,4.4975,0.0185185185185185,0.07370370370370363,690,0.27370000000000005
55,Other,Premium,1.98,25,South America,Mobile,17.99,1,Gift Card,2,0.08,Romance,8.995,0.0384615384615384,0.0792307692307691,1140,0.1584
67,Female,Basic,5.74,1,Africa,Laptop,8.99,0,Credit Card,5,2.87,Drama,1.798,0.5,4.305,1500,16.4738
62,Female,Basic,1.04,16,North America,Mobile,8.99,1,Credit Card,5,0.06,Comedy,1.798,0.0588235294117647,0.06470588235294117,1350,0.0624
69,Female,Standard,3.47,58,South America,Laptop,13.99,1,Gift Card,3,0.06,Comedy,4.663333333333333,0.0169491525423728,0.059830508474575994,1560,0.2082
53,Female,Premium,10.75,48,South America,Mobile,17.99,0,PayPal,4,0.22,Sci-Fi,4.4975,0.0204081632653061,0.22387755102040793,1080,2.365
20,Male,Basic,14.05,12,Asia,Mobile,8.99,0,Gift Card,2,1.08,Romance,4.495,0.0769230769230769,1.1638461538461535,90,15.174000000000001
60,Male,Premium,10.71,53,South America,Desktop,17.99,1,Credit Card,1,0.2,Documentary,17.99,0.0185185185185185,0.20203703703703685,1290,2.1420000000000003
56,Other,Basic,4.78,51,Oceania,Desktop,8.99,1,Gift Card,1,0.09,Romance,8.99,0.0192307692307692,0.093653846153846,1170,0.4302
65,Other,Premium,4.11,41,Asia,Mobile,17.99,1,Gift Card,2,0.1,Drama,8.995,0.0238095238095238,0.1002380952380952,1440,0.41100000000000003
67,Male,Basic,6.47,47,Europe,TV,8.99,1,PayPal,2,0.13,Sci-Fi,4.495,0.0208333333333333,0.1374999999999998,1500,0.8411
58,Other,Basic,10.29,26,South America,Mobile,8.99,1,PayPal,1,0.38,Romance,8.99,0.037037037037037,0.3951851851851848,1230,3.9101999999999997
65,Female,Basic,10.17,19,Asia,Mobile,8.99,0,Debit Card,5,0.51,Documentary,1.798,0.05,0.534,1440,5.1867
63,Female,Basic,22.9,11,Europe,TV,8.99,0,Credit Card,1,1.91,Romance,8.99,0.0833333333333333,2.067499999999999,1380,43.739
38,Other,Premium,8.36,1,South America,TV,17.99,0,Gift Card,2,4.18,Drama,8.995,0.5,6.27,630,34.944799999999994
31,Male,Basic,11.96,6,Africa,Laptop,8.99,0,PayPal,4,1.71,Sci-Fi,2.2475,0.1428571428571428,1.9528571428571422,420,20.451600000000003
23,Other,Standard,3.04,48,Europe,Tablet,13.99,1,Crypto,2,0.06,Horror,6.995,0.0204081632653061,0.0632653061224489,180,0.1824
27,Female,Standard,0.21,44,Africa,Mobile,13.99,1,Gift Card,3,0.0,Documentary,4.663333333333333,0.0222222222222222,0.004666666666666662,300,0.0
46,Female,Basic,5.62,58,Europe,Mobile,8.99,1,PayPal,4,0.1,Documentary,2.2475,0.0169491525423728,0.09694915254237242,870,0.562
62,Male,Basic,14.73,23,Africa,Desktop,8.99,0,Crypto,1,0.61,Romance,8.99,0.0416666666666666,0.6391666666666657,1350,8.9853
25,Female,Basic,21.23,10,Africa,Laptop,8.99,0,Debit Card,1,1.93,Horror,8.99,0.0909090909090909,2.105454545454545,240,40.9739
24,Female,Premium,0.65,34,Africa,Mobile,17.99,1,Gift Card,4,0.02,Drama,4.4975,0.0285714285714285,0.019142857142857097,210,0.013000000000000001
18,Other,Premium,17.01,43,South America,Desktop,17.99,1,PayPal,2,0.39,Drama,8.995,0.0227272727272727,0.395454545454545,30,6.633900000000001
45,Female,Premium,15.57,24,Europe,Mobile,17.99,0,Credit Card,4,0.62,Documentary,4.4975,0.04,0.6476000000000001,840,9.6534
39,Other,Basic,1.28,39,South America,Desktop,8.99,1,Credit Card,5,0.03,Documentary,1.798,0.025,0.03275,660,0.0384
27,Male,Premium,2.95,30,South America,Desktop,17.99,1,PayPal,2,0.1,Horror,8.995,0.032258064516129,0.09838709677419345,300,0.29500000000000004
33,Female,Basic,21.76,33,Asia,Laptop,8.99,0,Crypto,4,0.64,Action,2.2475,0.0294117647058823,0.6588235294117636,480,13.926400000000001
57,Male,Premium,16.85,33,Oceania,Laptop,17.99,1,Gift Card,1,0.5,Horror,17.99,0.0294117647058823,0.510294117647058,1200,8.425
32,Male,Premium,19.63,18,Asia,Laptop,17.99,0,Crypto,5,1.03,Horror,3.598,0.0526315789473684,1.087368421052631,450,20.218899999999998
42,Female,Basic,23.89,18,Oceania,Mobile,8.99,0,Crypto,4,1.26,Horror,2.2475,0.0526315789473684,1.3236842105263154,750,30.1014
63,Female,Basic,2.95,41,South America,Laptop,8.99,1,PayPal,2,0.07,Romance,4.495,0.0238095238095238,0.07190476190476187,1380,0.20650000000000004
61,Other,Basic,30.44,60,Oceania,Tablet,8.99,0,Gift Card,2,0.5,Horror,4.495,0.0163934426229508,0.5072131147540978,1320,15.22
67,Male,Premium,4.77,30,North America,Desktop,17.99,1,Debit Card,1,0.15,Action,17.99,0.032258064516129,0.15870967741935466,1500,0.7154999999999999
46,Other,Standard,20.57,43,Asia,Mobile,13.99,0,Credit Card,3,0.47,Drama,4.663333333333333,0.0227272727272727,0.4781818181818176,870,9.6679
23,Female,Premium,4.03,3,North America,Mobile,17.99,0,PayPal,5,1.01,Romance,3.598,0.25,1.26,180,4.0703000000000005
60,Other,Standard,12.66,12,Asia,Desktop,13.99,0,Debit Card,1,0.97,Romance,13.99,0.0769230769230769,1.0484615384615381,1290,12.2802
58,Female,Basic,11.16,31,Asia,Laptop,8.99,1,Gift Card,1,0.35,Documentary,8.99,0.03125,0.3596875,1230,3.9059999999999997
50,Other,Standard,31.24,8,South America,TV,13.99,0,PayPal,4,3.47,Romance,3.4975,0.1111111111111111,3.8566666666666665,990,108.4028
35,Other,Premium,3.63,57,Europe,Laptop,17.99,1,Credit Card,5,0.06,Sci-Fi,3.598,0.0172413793103448,0.06362068965517231,540,0.2178
18,Female,Basic,5.19,37,South America,Tablet,8.99,1,Crypto,1,0.14,Romance,8.99,0.0263157894736842,0.14026315789473678,30,0.7266000000000001
62,Male,Basic,9.89,7,Europe,Tablet,8.99,0,Gift Card,2,1.24,Horror,4.495,0.125,1.39125,1350,12.2636
55,Male,Basic,3.83,28,Europe,Desktop,8.99,1,Credit Card,4,0.13,Sci-Fi,2.2475,0.0344827586206896,0.13655172413793082,1140,0.4979
53,Male,Standard,3.65,2,Asia,Laptop,13.99,0,PayPal,4,1.22,Romance,3.4975,0.3333333333333333,1.6233333333333333,1080,4.452999999999999
27,Female,Premium,1.29,22,North America,Laptop,17.99,0,Debit Card,5,0.06,Comedy,3.598,0.0434782608695652,0.058695652173913024,300,0.0774
56,Other,Standard,19.59,23,North America,Mobile,13.99,0,Debit Card,1,0.82,Comedy,13.99,0.0416666666666666,0.8504166666666654,1170,16.0638
51,Other,Premium,4.52,59,North America,TV,17.99,1,Crypto,3,0.08,Comedy,5.996666666666666,0.0166666666666666,0.07666666666666636,1020,0.3616
58,Female,Basic,17.27,6,Asia,TV,8.99,0,Debit Card,3,2.47,Romance,2.9966666666666666,0.1428571428571428,2.8199999999999985,1230,42.6569
54,Other,Basic,12.9,48,Africa,Tablet,8.99,1,Gift Card,4,0.26,Action,2.2475,0.0204081632653061,0.2685714285714283,1110,3.354
38,Other,Standard,18.33,21,Africa,Desktop,13.99,0,Gift Card,5,0.83,Comedy,2.798,0.0454545454545454,0.8709090909090897,630,15.213899999999997
21,Male,Basic,10.77,24,Africa,TV,8.99,0,PayPal,2,0.43,Horror,4.495,0.04,0.44799999999999995,120,4.6311
40,Male,Basic,5.11,8,North America,Desktop,8.99,0,Crypto,1,0.57,Romance,8.99,0.1111111111111111,0.6311111111111112,690,2.9127
59,Male,Basic,0.5,60,North America,Tablet,8.99,1,Credit Card,2,0.01,Sci-Fi,4.495,0.0163934426229508,0.008360655737704907,1260,0.005
62,Female,Premium,33.77,31,Asia,Tablet,17.99,0,PayPal,4,1.06,Action,4.4975,0.03125,1.0884375000000002,1350,35.796200000000006
31,Female,Premium,1.02,39,Oceania,Laptop,17.99,1,Crypto,3,0.03,Drama,5.996666666666666,0.025,0.026250000000000002,420,0.0306
27,Other,Premium,30.11,3,Africa,Mobile,17.99,0,Crypto,3,7.53,Romance,5.996666666666666,0.25,9.41,300,226.7283
51,Male,Premium,7.8,59,North America,Desktop,17.99,1,Debit Card,2,0.13,Romance,8.995,0.0166666666666666,0.13216666666666613,1020,1.014
47,Other,Basic,3.64,15,Oceania,Mobile,8.99,1,Crypto,4,0.23,Drama,2.2475,0.0625,0.241875,900,0.8372
42,Male,Premium,16.37,45,Asia,Desktop,17.99,0,Debit Card,4,0.36,Comedy,4.4975,0.0217391304347826,0.3636956521739129,750,5.8932
60,Other,Standard,3.29,50,South America,TV,13.99,1,Crypto,3,0.06,Horror,4.663333333333333,0.0196078431372549,0.06568627450980392,1290,0.1974
19,Male,Premium,1.98,26,Asia,Laptop,17.99,0,PayPal,4,0.07,Horror,4.4975,0.037037037037037,0.07592592592592584,60,0.1386
61,Male,Premium,5.31,25,Europe,Laptop,17.99,0,Gift Card,3,0.2,Sci-Fi,5.996666666666666,0.0384615384615384,0.21192307692307658,1320,1.062
68,Female,Premium,41.2,30,Oceania,Tablet,17.99,0,Gift Card,5,1.33,Comedy,3.598,0.032258064516129,1.3719354838709663,1530,54.79600000000001
44,Male,Standard,1.05,18,Africa,Tablet,13.99,1,PayPal,3,0.06,Drama,4.663333333333333,0.0526315789473684,0.05842105263157893,810,0.063
46,Male,Premium,30.92,15,Europe,Desktop,17.99,0,Credit Card,5,1.93,Action,3.598,0.0625,2.053125,870,59.6756
30,Other,Basic,14.06,50,North America,Laptop,8.99,1,Gift Card,1,0.28,Documentary,8.99,0.0196078431372549,0.2811764705882353,390,3.9368000000000003
60,Other,Basic,0.27,35,Europe,Mobile,8.99,1,Credit Card,2,0.01,Drama,4.495,0.0277777777777777,0.007777777777777757,1290,0.0027
66,Other,Premium,35.88,18,North America,Tablet,17.99,0,Credit Card,5,1.89,Drama,3.598,0.0526315789473684,1.9878947368421045,1470,67.8132
48,Other,Basic,17.72,22,Africa,Mobile,8.99,0,Crypto,3,0.77,Comedy,2.9966666666666666,0.0434782608695652,0.8039130434782605,930,13.6444
46,Other,Premium,1.76,28,Oceania,Desktop,17.99,0,Credit Card,4,0.06,Documentary,4.4975,0.0344827586206896,0.06275862068965507,870,0.1056
66,Male,Premium,30.91,51,North America,TV,17.99,0,PayPal,1,0.59,Drama,17.99,0.0192307692307692,0.6057692307692298,1470,18.2369
40,Male,Basic,1.18,39,Asia,Tablet,8.99,1,Debit Card,2,0.03,Sci-Fi,4.495,0.025,0.03025,690,0.035399999999999994
35,Female,Basic,5.0,48,Africa,Desktop,8.99,1,Crypto,1,0.1,Drama,8.99,0.0204081632653061,0.1040816326530611,540,0.5
52,Male,Basic,0.41,48,Europe,TV,8.99,1,Credit Card,5,0.01,Documentary,1.798,0.0204081632653061,0.008571428571428561,1050,0.0040999999999999995
24,Male,Standard,8.96,34,South America,Mobile,13.99,1,Gift Card,2,0.26,Comedy,6.995,0.0285714285714285,0.2634285714285708,210,2.3296
46,Other,Premium,7.86,10,Oceania,Tablet,17.99,0,Credit Card,1,0.71,Drama,17.99,0.0909090909090909,0.7790909090909091,870,5.5806
30,Female,Standard,1.21,14,Europe,TV,13.99,1,Crypto,5,0.08,Drama,2.798,0.0666666666666666,0.08599999999999991,390,0.0968
36,Female,Basic,0.05,25,Europe,Desktop,8.99,1,Debit Card,4,0.0,Action,2.2475,0.0384615384615384,0.0019230769230769201,570,0.0
30,Female,Basic,7.59,36,Oceania,Mobile,8.99,1,Credit Card,3,0.21,Horror,2.9966666666666666,0.027027027027027,0.2108108108108106,390,1.5938999999999999
26,Male,Basic,22.41,15,South America,Tablet,8.99,0,Gift Card,4,1.4,Action,2.2475,0.0625,1.488125,270,31.374
46,Other,Premium,13.15,57,Oceania,Tablet,17.99,1,Crypto,5,0.23,Action,3.598,0.0172413793103448,0.23068965517241344,870,3.0245
19,Male,Basic,12.3,29,Oceania,Desktop,8.99,1,Debit Card,1,0.41,Drama,8.99,0.0333333333333333,0.42366666666666625,60,5.043
33,Other,Basic,29.76,50,Europe,Mobile,8.99,0,Crypto,3,0.58,Action,2.9966666666666666,0.0196078431372549,0.5949019607843137,480,17.2608
21,Other,Basic,18.91,36,Asia,Desktop,8.99,1,Debit Card,1,0.51,Horror,8.99,0.027027027027027,0.5248648648648644,120,9.6441
69,Female,Standard,5.93,39,North America,Desktop,13.99,1,Gift Card,5,0.15,Sci-Fi,2.798,0.025,0.15200000000000002,1560,0.8895
30,Female,Premium,1.85,5,Europe,Laptop,17.99,0,Debit Card,5,0.31,Drama,3.598,0.1666666666666666,0.3599999999999999,390,0.5735
23,Other,Basic,28.57,55,Oceania,Desktop,8.99,0,PayPal,3,0.51,Drama,2.9966666666666666,0.0178571428571428,0.5192857142857127,180,14.5707
70,Female,Basic,2.46,53,South America,Laptop,8.99,1,Crypto,1,0.05,Drama,8.99,0.0185185185185185,0.04648148148148143,1590,0.123
62,Male,Basic,22.77,47,South America,Mobile,8.99,1,Crypto,5,0.47,Documentary,1.798,0.0208333333333333,0.48416666666666586,1350,10.701899999999998
53,Female,Premium,2.89,22,South America,Mobile,17.99,0,PayPal,5,0.13,Documentary,3.598,0.0434782608695652,0.1313043478260869,1080,0.37570000000000003
63,Other,Premium,15.02,11,North America,TV,17.99,0,PayPal,2,1.25,Comedy,8.995,0.0833333333333333,1.3558333333333328,1380,18.775
55,Male,Standard,7.28,12,South America,Tablet,13.99,0,Credit Card,1,0.56,Comedy,13.99,0.0769230769230769,0.6030769230769228,1140,4.0768
62,Female,Standard,1.62,37,North America,TV,13.99,1,Crypto,3,0.04,Horror,4.663333333333333,0.0263157894736842,0.04368421052631578,1350,0.06480000000000001
21,Other,Premium,12.34,19,Oceania,TV,17.99,0,Debit Card,3,0.62,Romance,5.996666666666666,0.05,0.648,120,7.6508
29,Male,Standard,10.76,50,South America,Mobile,13.99,1,PayPal,2,0.21,Drama,6.995,0.0196078431372549,0.2150980392156863,360,2.2596
22,Other,Premium,13.72,59,Asia,Desktop,17.99,1,Crypto,5,0.23,Drama,3.598,0.0166666666666666,0.2324999999999991,150,3.1556
28,Male,Standard,22.78,16,Oceania,Laptop,13.99,0,Debit Card,5,1.34,Sci-Fi,2.798,0.0588235294117647,1.4188235294117646,330,30.5252
60,Female,Basic,1.76,48,North America,TV,8.99,1,Debit Card,2,0.04,Sci-Fi,4.495,0.0204081632653061,0.03673469387755098,1290,0.0704
29,Male,Premium,14.85,10,Asia,Tablet,17.99,0,Credit Card,1,1.35,Horror,17.99,0.0909090909090909,1.4727272727272724,360,20.0475
63,Male,Basic,0.75,46,Asia,Tablet,8.99,1,Gift Card,3,0.02,Horror,2.9966666666666666,0.0212765957446808,0.016382978723404214,1380,0.015
40,Other,Standard,19.15,40,Asia,Laptop,13.99,1,Debit Card,2,0.47,Horror,6.995,0.024390243902439,0.47853658536585314,690,9.000499999999999
54,Other,Standard,5.57,53,Europe,TV,13.99,1,Crypto,5,0.1,Documentary,2.798,0.0185185185185185,0.1049999999999999,1110,0.557
63,Other,Standard,6.72,18,Europe,Tablet,13.99,0,Credit Card,4,0.35,Documentary,3.4975,0.0526315789473684,0.37210526315789455,1380,2.352
31,Other,Basic,14.07,52,Europe,Desktop,8.99,1,Gift Card,3,0.27,Romance,2.9966666666666666,0.0188679245283018,0.2705660377358478,420,3.7989
26,Other,Standard,4.86,19,South America,Mobile,13.99,0,PayPal,4,0.24,Drama,3.4975,0.05,0.25500000000000006,270,1.1664
18,Female,Basic,1.82,46,South America,Tablet,8.99,1,Credit Card,3,0.04,Romance,2.9966666666666666,0.0212765957446808,0.039574468085106285,30,0.0728
28,Female,Standard,4.39,14,North America,Tablet,13.99,1,Debit Card,2,0.29,Romance,6.995,0.0666666666666666,0.31199999999999967,330,1.2731
46,Male,Standard,3.37,18,Oceania,TV,13.99,0,Debit Card,5,0.18,Horror,2.798,0.0526315789473684,0.18684210526315784,870,0.6066
47,Male,Standard,2.01,5,North America,Laptop,13.99,0,Credit Card,2,0.33,Documentary,6.995,0.1666666666666666,0.38999999999999985,900,0.6633
47,Male,Basic,6.54,55,Africa,Mobile,8.99,1,PayPal,2,0.12,Comedy,4.495,0.0178571428571428,0.11892857142857105,900,0.7847999999999999
29,Other,Standard,4.33,25,Europe,Mobile,13.99,0,Credit Card,4,0.17,Romance,3.4975,0.0384615384615384,0.1730769230769228,360,0.7361000000000001
70,Other,Standard,32.62,26,Africa,TV,13.99,0,Crypto,1,1.21,Sci-Fi,13.99,0.037037037037037,1.2529629629629617,1590,39.4702
26,Other,Premium,11.35,37,Oceania,Tablet,17.99,1,PayPal,2,0.3,Romance,8.995,0.0263157894736842,0.30657894736842095,270,3.405
68,Male,Premium,2.34,44,Oceania,Laptop,17.99,1,Gift Card,5,0.05,Drama,3.598,0.0222222222222222,0.053111111111111046,1530,0.11699999999999999
18,Female,Basic,13.51,53,North America,Laptop,8.99,1,Debit Card,4,0.25,Documentary,2.2475,0.0185185185185185,0.25481481481481455,30,3.3775
18,Other,Basic,3.89,33,Europe,Tablet,8.99,1,Debit Card,1,0.11,Action,8.99,0.0294117647058823,0.1176470588235292,30,0.4279
29,Female,Basic,8.48,39,Africa,TV,8.99,1,Debit Card,5,0.21,Romance,1.798,0.025,0.21725000000000005,360,1.7808
24,Male,Premium,9.02,26,North America,Desktop,17.99,0,Debit Card,4,0.33,Sci-Fi,4.4975,0.037037037037037,0.34629629629629594,210,2.9766
29,Other,Standard,53.2,49,South America,Laptop,13.99,0,Crypto,5,1.06,Sci-Fi,2.798,0.02,1.0852000000000002,360,56.392
37,Male,Basic,4.98,30,South America,Mobile,8.99,1,Gift Card,4,0.16,Romance,2.2475,0.032258064516129,0.16580645161290306,600,0.7968000000000001
21,Other,Premium,4.21,31,Europe,Laptop,17.99,1,Gift Card,5,0.13,Documentary,3.598,0.03125,0.135625,120,0.5473
65,Other,Basic,16.1,10,North America,Tablet,8.99,0,Crypto,3,1.46,Sci-Fi,2.9966666666666666,0.0909090909090909,1.5963636363636364,1440,23.506
44,Male,Basic,4.89,35,Oceania,Laptop,8.99,1,PayPal,3,0.14,Drama,2.9966666666666666,0.0277777777777777,0.1397222222222218,810,0.6846
18,Other,Premium,7.15,9,Europe,Laptop,17.99,0,Debit Card,3,0.72,Comedy,5.996666666666666,0.1,0.787,30,5.148
55,Male,Basic,0.12,22,South America,Tablet,8.99,1,Debit Card,4,0.01,Comedy,2.2475,0.0434782608695652,0.005652173913043477,1140,0.0012
47,Other,Standard,10.82,51,Europe,Mobile,13.99,1,Credit Card,2,0.21,Comedy,6.995,0.0192307692307692,0.21211538461538432,900,2.2721999999999998
47,Male,Premium,2.57,60,South America,TV,17.99,1,Gift Card,3,0.04,Action,5.996666666666666,0.0163934426229508,0.04278688524590159,900,0.1028
36,Other,Premium,2.85,15,Africa,Tablet,17.99,1,PayPal,3,0.18,Comedy,5.996666666666666,0.0625,0.18937500000000002,570,0.513
70,Other,Premium,8.6,37,Africa,Desktop,17.99,1,Crypto,3,0.23,Documentary,5.996666666666666,0.0263157894736842,0.23236842105263147,1590,1.978
51,Female,Premium,8.34,32,Asia,TV,17.99,1,Crypto,2,0.25,Romance,8.995,0.0303030303030303,0.26030303030303026,1020,2.085
48,Male,Standard,20.69,43,Africa,Laptop,13.99,0,Credit Card,2,0.47,Action,6.995,0.0227272727272727,0.48090909090909034,930,9.7243
39,Other,Premium,13.49,21,South America,Tablet,17.99,0,Credit Card,4,0.61,Drama,4.4975,0.0454545454545454,0.6409090909090901,660,8.2289
33,Male,Standard,0.93,4,Asia,Tablet,13.99,1,Crypto,1,0.19,Sci-Fi,13.99,0.2,0.22400000000000003,480,0.17670000000000002
63,Other,Standard,30.83,10,Europe,Laptop,13.99,0,Crypto,2,2.8,Sci-Fi,6.995,0.0909090909090909,3.0572727272727267,1380,86.32399999999998
51,Other,Basic,3.64,50,South America,TV,8.99,1,Debit Card,1,0.07,Action,8.99,0.0196078431372549,0.07274509803921568,1020,0.2548
21,Female,Standard,13.77,45,South America,Laptop,13.99,1,PayPal,1,0.3,Horror,13.99,0.0217391304347826,0.3058695652173912,120,4.130999999999999
29,Female,Standard,1.56,10,Europe,Tablet,13.99,1,Gift Card,5,0.14,Horror,2.798,0.0909090909090909,0.15454545454545454,360,0.21840000000000004
52,Female,Standard,10.14,49,Europe,TV,13.99,1,Gift Card,4,0.2,Action,3.4975,0.02,0.2068,1050,2.028
20,Other,Standard,31.73,46,Africa,Tablet,13.99,0,Credit Card,1,0.68,Drama,13.99,0.0212765957446808,0.6895744680851048,90,21.576400000000003
48,Other,Basic,6.63,10,South America,Tablet,8.99,0,PayPal,2,0.6,Documentary,4.495,0.0909090909090909,0.6572727272727271,930,3.9779999999999998
25,Female,Basic,1.84,5,Oceania,Laptop,8.99,1,PayPal,5,0.31,Sci-Fi,1.798,0.1666666666666666,0.35833333333333317,240,0.5704
53,Male,Basic,3.37,54,South America,Desktop,8.99,1,PayPal,5,0.06,Comedy,1.798,0.0181818181818181,0.06236363636363609,1080,0.2022
27,Male,Standard,5.32,54,Europe,Desktop,13.99,0,PayPal,4,0.1,Drama,3.4975,0.0181818181818181,0.0985454545454541,300,0.532
50,Other,Standard,21.29,26,Oceania,Laptop,13.99,0,Gift Card,3,0.79,Romance,4.663333333333333,0.037037037037037,0.8177777777777769,990,16.8191
41,Other,Basic,20.26,41,Africa,Laptop,8.99,1,Crypto,1,0.48,Documentary,8.99,0.0238095238095238,0.4938095238095237,720,9.7248
47,Female,Standard,4.1,52,South America,Laptop,13.99,1,Debit Card,1,0.08,Drama,13.99,0.0188679245283018,0.07886792452830152,900,0.32799999999999996
59,Female,Basic,77.09,36,North America,Desktop,8.99,0,PayPal,3,2.08,Romance,2.9966666666666666,0.027027027027027,2.1397297297297277,1260,160.34720000000002
58,Male,Premium,2.11,23,Africa,TV,17.99,1,Debit Card,3,0.09,Documentary,5.996666666666666,0.0416666666666666,0.09166666666666651,1230,0.18989999999999999
